Tipo de Unidade,Unidade,Categoria,racacor,Total
A - Ensino e Pesquisa,EACH,Graduação,Amar,263
A - Ensino e Pesquisa,EACH,Graduação,Bran,2646
A - Ensino e Pesquisa,EACH,Graduação,Indig,8
A - Ensino e Pesquisa,EACH,Graduação,Pard,962
A - Ensino e Pesquisa,EACH,Graduação,Pret,339
A - Ensino e Pesquisa,EACH,Graduação,N/I,330
A - Ensino e Pesquisa,EACH,Pós-Graduação,Amar,9
A - Ensino e Pesquisa,EACH,Pós-Graduação,Bran,227
A - Ensino e Pesquisa,EACH,Pós-Graduação,Indig,2
A - Ensino e Pesquisa,EACH,Pós-Graduação,Pard,47
A - Ensino e Pesquisa,EACH,Pós-Graduação,Pret,32
A - Ensino e Pesquisa,EACH,Pós-Graduação,N/I,1138
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Amar,0
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Bran,10
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Pard,0
A - Ensino e Pesquisa,EACH,Pós-Doutorando,Pret,0
A - Ensino e Pesquisa,EACH,Pós-Doutorando,N/I,59
A - Ensino e Pesquisa,ECA,Graduação,Amar,101
A - Ensino e Pesquisa,ECA,Graduação,Bran,1492
A - Ensino e Pesquisa,ECA,Graduação,Indig,4
A - Ensino e Pesquisa,ECA,Graduação,Pard,412
A - Ensino e Pesquisa,ECA,Graduação,Pret,148
A - Ensino e Pesquisa,ECA,Graduação,N/I,142
A - Ensino e Pesquisa,ECA,Pós-Graduação,Amar,1
A - Ensino e Pesquisa,ECA,Pós-Graduação,Bran,47
A - Ensino e Pesquisa,ECA,Pós-Graduação,Indig,0
A - Ensino e Pesquisa,ECA,Pós-Graduação,Pard,4
A - Ensino e Pesquisa,ECA,Pós-Graduação,Pret,1
A - Ensino e Pesquisa,ECA,Pós-Graduação,N/I,1164
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Amar,0
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Bran,14
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Indig,0
A - Ensino e Pesquisa,ECA,Pós-Doutorando,Pard,2
